"Date","Name","Open","High","Low","Close"
"2019-06-07","EUR to HUF","324.45000","325.02000","319.50000","319.78000"
"2019-05-31","EUR to HUF","325.23000","327.50000","323.81000","324.52000"
"2019-05-24","EUR to HUF","325.83000","327.46000","324.88000","324.96000"
"2019-05-17","EUR to HUF","323.07000","326.53000","322.81000","325.81000"
"2019-05-10","EUR to HUF","322.97000","324.75000","322.66000","322.89000"
"2019-05-03","EUR to HUF","321.89000","324.79000","321.83000","322.66000"
"2019-04-26","EUR to HUF","319.88000","322.73000","319.33000","322.01000"
"2019-04-19","EUR to HUF","321.13000","321.58000","318.77000","319.72000"
"2019-04-12","EUR to HUF","321.12000","322.47000","320.46000","320.94000"
"2019-04-05","EUR to HUF","320.70000","322.25000","319.25000","320.82000"
"2019-03-29","EUR to HUF","316.03000","321.68000","315.23000","320.99000"
"2019-03-22","EUR to HUF","314.06000","316.89000","312.30000","316.40000"
"2019-03-15","EUR to HUF","315.01000","315.97000","313.87000","313.99000"
"2019-03-08","EUR to HUF","315.75000","316.46000","314.68000","315.20000"
"2019-03-01","EUR to HUF","317.38000","318.00000","315.30000","315.72000"
"2019-02-22","EUR to HUF","317.65000","318.44000","316.51000","317.58000"
"2019-02-15","EUR to HUF","318.74000","320.04000","317.19000","317.73000"
"2019-02-08","EUR to HUF","317.31000","319.62000","316.71000","319.23000"
"2019-02-01","EUR to HUF","317.47000","318.25000","314.84000","317.02000"
"2019-01-25","EUR to HUF","317.68000","319.21000","317.00000","317.17000"
"2019-01-18","EUR to HUF","321.02000","324.29000","317.27000","317.60000"
"2019-01-11","EUR to HUF","320.65000","322.27000","320.43000","320.53000"
"2019-01-04","EUR to HUF","321.38000","322.91000","320.30000","320.41000"
"2018-12-28","EUR to HUF","321.74000","322.36000","320.13000","321.19000"
"2018-12-21","EUR to HUF","323.35000","323.61000","320.89000","321.34000"
"2018-12-14","EUR to HUF","322.94000","324.23000","322.30000","323.56000"
"2018-12-07","EUR to HUF","323.47000","324.11000","321.81000","323.51000"
"2018-11-30","EUR to HUF","321.90000","324.89000","321.83000","323.43000"
"2018-11-23","EUR to HUF","321.45000","322.46000","320.68000","321.56000"
"2018-11-16","EUR to HUF","321.35000","323.56000","321.10000","321.20000"
"2018-11-09","EUR to HUF","321.23000","322.62000","320.52000","321.90000"
"2018-11-02","EUR to HUF","323.52000","325.46000","320.78000","321.43000"
"2018-10-26","EUR to HUF","322.91000","324.50000","322.05000","323.83000"
"2018-10-19","EUR to HUF","323.77000","324.26000","321.29000","322.77000"
"2018-10-12","EUR to HUF","324.47000","325.85000","323.63000","324.06000"
"2018-10-05","EUR to HUF","323.05000","325.35000","321.78000","324.04000"
"2018-09-28","EUR to HUF","323.82000","324.59000","322.80000","323.14000"
"2018-09-21","EUR to HUF","324.38000","325.29000","322.48000","323.94000"
"2018-09-14","EUR to HUF","325.25000","326.36000","322.90000","324.49000"
"2018-09-07","EUR to HUF","326.18000","329.04000","324.01000","324.63000"
"2018-08-31","EUR to HUF","323.30000","327.22000","322.98000","326.24000"
"2018-08-24","EUR to HUF","322.58000","324.75000","322.30000","323.24000"
"2018-08-17","EUR to HUF","323.62000","325.69000","321.86000","322.31000"
"2018-08-10","EUR to HUF","319.47000","324.73000","318.66000","322.67000"
"2018-08-03","EUR to HUF","322.23000","322.82000","319.37000","319.70000"
"2018-07-27","EUR to HUF","324.98000","327.17000","321.50000","322.18000"
"2018-07-20","EUR to HUF","322.99000","326.92000","321.37000","325.05000"
"2018-07-13","EUR to HUF","323.21000","325.73000","322.28000","322.49000"
"2018-07-06","EUR to HUF","328.77000","330.69000","322.39000","322.76000"
"2018-06-29","EUR to HUF","324.36000","330.13000","324.07000","328.88000"
"2018-06-22","EUR to HUF","322.27000","326.43000","321.39000","324.37000"
"2018-06-15","EUR to HUF","319.81000","323.89000","318.98000","322.29000"
"2018-06-08","EUR to HUF","319.26000","320.62000","316.49000","319.18000"
